Name,Age,Country,CGPA,Skill,Program
Amanda Klein,17,Aruba,3.83,Excel,BS Information Technology
Catherine Mack,19,Pitcairn Islands,3.58,Python,BS Computer Science
Jack Ramsey,24,British Indian Ocean Territory (Chagos Archipelago),2.14,SQL,BS Computer Science
Kelli Johnson,17,Christmas Island,3.86,Excel,BS Information Technology
John Wolf,24,Madagascar,2.26,Python,BS Software Engineering
Ashley Potter,20,Tajikistan,3.04,SQL,BS Information Technology
Cindy Anderson DDS,24,Wallis and Futuna,2.08,Risk Management,BS Accounting & Finance
Jessica Alvarado,23,Kazakhstan,2.35,SQL,BS Computer Science
Jared Stewart,17,Cocos (Keeling) Islands,2.76,Python,BS Software Engineering
Larry Mason,23,Malta,3.16,SQL,BS Computer Science
Lisa Pugh,24,Sweden,2.6,Python,BS Computer Science
Veronica Obrien,20,Grenada,2.65,Financial Modelling,BS Accounting & Finance
Brandon Lane,23,Czech Republic,3.7,Statistics,BS Business Analytics
Craig Miller,22,Heard Island and McDonald Islands,3,Statistics,BS Data Science
Jason Herrera,18,China,2.08,Python,BS Computer Science
Katherine Oneal,24,Swaziland,3.88,None,BBA
Marissa Bowman,25,Peru,3.81,None,BBA
Mark Dalton,16,Antigua and Barbuda,2.97,Excel,BS Business Analytics
Monica Murphy,18,Bermuda,2.64,Python,BS Computer Science
Richard Barrett,17,Kyrgyz Republic,3,Python,BS Software Engineering
Emily Long,22,Nicaragua,2.98,Python,BS Data Science
Chad Mercado,20,Christmas Island,2.31,Statistics,BS Data Science
Rebecca Fleming,20,Portugal,2.26,Excel,BBA
Scott Dudley,16,Cambodia,2.37,Python,BS Computer Science
Paul Wise,20,New Caledonia,2.82,Python,BS Data Science
Christopher Anderson,21,Suriname,3.38,Excel,BBA
Austin Gay,19,Bahamas,3.12,SQL,BS Information Technology
Mark Braun,21,Greenland,2.63,SQL,BS Business Analytics
David Moss,23,Zambia,3.97,Statistics,BS Data Science
Shannon Romero,20,Central African Republic,2.64,Excel,BS Business Analytics
Ashley Joyce,20,British Indian Ocean Territory (Chagos Archipelago),3.57,Excel,BBA
Trevor Frank,25,Solomon Islands,2.08,Python,BS Software Engineering
Julia House,19,Bermuda,2.74,SQL,BS Computer Science
Megan Pope,24,Micronesia,2.8,Python,BS Software Engineering
Andrew Rivas,22,Macao,3.13,Excel,BS Information Technology
Erika Stout,16,Sierra Leone,3.55,Excel,BS Information Technology
Michelle Bush,23,Samoa,2.9,Python,BS Computer Science
Erika Brown,23,French Southern Territories,3.37,Python,BS Computer Science
David Beltran,25,Taiwan,3.51,Excel,BS Information Technology
Jeanette Stephenson,24,Djibouti,2.79,SQL,BS Information Technology
Kimberly Bowers,19,Liechtenstein,2.37,Python,BS Software Engineering
James Cook,22,Belarus,2.55,Excel,BS Accounting & Finance
Daniel Smith,23,United States Virgin Islands,2.57,SQL,BS Business Analytics
Darlene Cook,18,Egypt,2.98,Python,BS Software Engineering
Amber Barnes,21,Morocco,2.62,SQL,BS Computer Science
Gregory Fry,19,British Indian Ocean Territory (Chagos Archipelago),2.09,Python,BS Software Engineering
David Gibson,24,French Polynesia,2.81,Excel,BS Information Technology
Jessica Nunez,24,Guam,3.75,Excel,BS Information Technology
Marco Oneal,18,Isle of Man,2.84,SQL,BS Information Technology
Tyler Manning,19,Kenya,3.64,SQL,BS Business Analytics
Toni Watkins,25,Jersey,3.7,None,BBA
Jeremy Wall,20,Puerto Rico,2.7,Management,BBA
Caleb Knight,25,Antarctica (the territory South of 60 deg S),2.93,Statistics,BS Business Analytics
Mitchell Malone,21,Iran,2.63,Python,BS Data Science
Paul Stewart,22,Slovenia,3.22,None,BBA
Jeffrey Parker,18,Libyan Arab Jamahiriya,2.71,SQL,BS Computer Science
Derek Smith,17,Suriname,2.37,Python,BS Software Engineering
Ethan Lewis,20,Angola,2.2,Python,BS Data Science
Sandra Cook,25,Brunei Darussalam,2.4,SQL,BS Information Technology
Matthew Anderson,24,Kiribati,3.13,Python,BS Software Engineering
Dennis Allen IV,22,Madagascar,2.31,Financial Modelling,BS Accounting & Finance
April Glass,23,Luxembourg,2.66,R,BS Data Science
Justin Rice,19,Grenada,3.88,Financial Modelling,BS Accounting & Finance
Jason Peters,18,Palestinian Territory,2.87,SQL,BS Business Analytics
Emily Ortiz,18,Djibouti,2.72,Python,BS Software Engineering
Catherine Hawkins,22,Equatorial Guinea,2.57,R,BS Data Science
April Davis,22,Saudi Arabia,3.9,Statistics,BS Data Science
Daniel Parker,24,American Samoa,3.69,Financial Modelling,BS Accounting & Finance
Ronald West,18,Lesotho,3.77,Python,BS Software Engineering
Patrick Bishop,20,Italy,3.42,Statistics,BS Business Analytics
Brian Sanchez,17,Bahamas,2.93,Excel,BBA
Hector Munoz,16,United States of America,3.99,Statistics,BS Data Science
Kristina Mitchell,22,Suriname,2.38,None,BBA
Anna Gibson,21,Qatar,3.14,Statistics,BS Data Science
Debra Davila,24,Andorra,2.54,Risk Management,BS Accounting & Finance
Willie Blair,18,Isle of Man,3.74,None,BBA
Craig Gonzales,24,Montserrat,3.19,R,BS Data Science
Mary Garcia,17,Antarctica (the territory South of 60 deg S),2.23,Excel,BBA
Jeffrey Grant,23,Gabon,3.03,SQL,BS Computer Science
Bryan Fields,20,Mauritania,3.75,Excel,BS Business Analytics
Leah Davidson,24,Dominica,3.99,Python,BS Software Engineering
Corey Cox,17,Equatorial Guinea,2.14,Statistics,BS Data Science
Meghan Dalton,22,Christmas Island,2.36,Excel,BS Information Technology
Kimberly Hill,23,Taiwan,2.65,SQL,BS Business Analytics
Patrick Greene,20,Saudi Arabia,2.61,Financial Modelling,BS Accounting & Finance
Tommy Walker,19,Albania,3.06,SQL,BS Business Analytics
Lucas Moore,19,New Caledonia,2.63,Excel,BS Information Technology
Justin Clark,22,British Virgin Islands,3.87,Management,BBA
Jenna Lewis,17,Slovenia,3.06,Python,BS Software Engineering
Michelle Garcia,21,United Kingdom,2.39,R,BS Data Science
Amanda Martinez,18,Turkmenistan,3.12,SQL,BS Business Analytics
Jessica Cook,22,Guyana,3.7,Excel,BS Information Technology
Sherry Williams,17,Monaco,3.36,Management,BBA
Stephanie Lucas,17,Israel,2.55,Management,BBA
Steven Jennings,21,Egypt,2.02,Excel,BBA
Sophia Davis,21,Zambia,3.57,SQL,BS Information Technology
Madison Bird,25,Chad,3.29,R,BS Data Science
Chad Schmidt,20,Angola,2.51,Financial Modelling,BS Accounting & Finance
Lori Bailey,22,Heard Island and McDonald Islands,2.33,Risk Management,BS Accounting & Finance
John Terrell,24,French Guiana,3.44,SQL,BS Computer Science
Cassandra Leblanc,18,Moldova,2.35,SQL,BS Computer Science
Donna Conley,16,Morocco,2.66,SQL,BS Business Analytics
Robert Woods,24,Indonesia,3.34,Python,BS Software Engineering
Timothy Silva,21,Pakistan,2.22,SQL,BS Business Analytics
Andrew Perkins,22,Tanzania,3.53,Management,BBA
Toni Wells,21,Somalia,2.56,Management,BBA
Nathaniel Dalton,16,Micronesia,3.25,Python,BS Computer Science
Jason Rowland,25,Saudi Arabia,2.95,SQL,BS Information Technology
Tracy Morgan,22,Tanzania,2.16,SQL,BS Information Technology
Willie Mendoza,21,Cyprus,3.49,Excel,BS Business Analytics
Michael Wheeler,20,Dominica,2.53,Financial Modelling,BS Accounting & Finance
Stephanie Arnold,21,Macao,2.25,Excel,BBA
Jesse Gaines,24,Tunisia,2.78,Python,BS Software Engineering
Alexander Joseph,24,Togo,3.8,Excel,BBA
Mark Bush,21,Botswana,3.51,Statistics,BS Business Analytics
Jennifer Marks,17,Cook Islands,3.51,Risk Management,BS Accounting & Finance
Michael Rowe,23,South Africa,3.38,None,BBA
Michael Dawson,19,Azerbaijan,2.99,Python,BS Computer Science
Nathan Kelly,19,Malawi,2.08,SQL,BS Business Analytics
Terry Kerr,21,Morocco,3.55,Excel,BBA
Jacqueline Anderson,24,Colombia,3.39,Management,BBA
Alan Allen,20,Lesotho,3.86,Financial Modelling,BS Accounting & Finance
Lori Caldwell,21,Tokelau,3.52,Python,BS Software Engineering
Sara Smith,17,Aruba,2.3,SQL,BS Information Technology
Mrs. Samantha Hickman,16,Ecuador,3.3,Risk Management,BS Accounting & Finance
Elizabeth Lucero,24,Belgium,2.05,Excel,BS Accounting & Finance
Christopher Palmer,19,Saint Barthelemy,3.92,SQL,BS Computer Science
Becky Gates,19,Italy,3.82,Python,BS Computer Science
Margaret Pope,16,Dominica,3.39,Python,BS Software Engineering
William Fisher,21,Afghanistan,2.51,Python,BS Software Engineering
Matthew Smith,17,Martinique,2.63,Python,BS Computer Science
Amanda Mccoy,20,Poland,2.1,Python,BS Software Engineering
Tammy Hickman DDS,25,Bulgaria,2.57,Python,BS Software Engineering
Richard Garcia,19,Christmas Island,2.65,Statistics,BS Data Science
Melissa Garcia,22,Libyan Arab Jamahiriya,2.56,Python,BS Software Engineering
Kristina Hoffman,18,Iran,2.79,Python,BS Software Engineering
Madison Warner,17,Tajikistan,2.45,Management,BBA
Alyssa Bennett,18,Nicaragua,3.09,SQL,BS Computer Science
Monica Carr,25,Nigeria,2.66,Excel,BBA
Cassandra Hurst,22,Macao,3.43,Statistics,BS Data Science
Amber Rangel,17,Norfolk Island,3.81,Statistics,BS Data Science
Kevin Collier,17,Azerbaijan,3.48,Python,BS Software Engineering
Amy Smith,22,South Africa,2.89,Management,BBA
Leah Perez,18,Netherlands Antilles,3.74,Python,BS Software Engineering
Kayla Owens,16,Montenegro,2.04,Statistics,BS Data Science
Austin Turner,24,Egypt,2.54,Excel,BS Business Analytics
Troy Gray,16,Singapore,3.59,Python,BS Software Engineering
Karen Pena,25,Holy See (Vatican City State),2.11,Python,BS Computer Science
Alejandro Lewis,17,Pitcairn Islands,3.35,Python,BS Computer Science
Tracy Huber,21,Slovakia (Slovak Republic),2.87,Financial Modelling,BS Accounting & Finance
Shawn Drake,22,Samoa,3.89,SQL,BS Business Analytics
Stanley Howard,20,Venezuela,3.03,Statistics,BS Data Science
Mike Gibson,23,Mongolia,3.47,Excel,BS Business Analytics
Victor Wiggins,21,Saint Lucia,3.91,Excel,BS Information Technology
Joshua Morgan,18,Sweden,2.81,Python,BS Data Science
Matthew Le,16,Palestinian Territory,3.46,SQL,BS Computer Science
Debra Anderson,19,Burundi,3.72,R,BS Data Science
Robert Wilcox,19,Sri Lanka,3.25,Python,BS Computer Science
Joshua Melendez,22,Senegal,3.14,Python,BS Data Science
George Case,25,Jordan,3.11,SQL,BS Information Technology
Latoya Evans,16,Lithuania,2.6,Python,BS Software Engineering
Stephanie Jones,19,Cayman Islands,3.46,Excel,BBA
Jessica Burke,17,Kenya,3.4,Python,BS Computer Science
Amy Hill,20,Nauru,3,Python,BS Software Engineering
Cynthia Miller,24,Germany,3.59,Excel,BS Accounting & Finance
Samuel Jones,17,Peru,3.95,Statistics,BS Business Analytics
Linda Taylor,18,Cuba,3.2,Python,BS Software Engineering
David Hill,25,Panama,2.85,Python,BS Software Engineering
Melanie Davis,16,Madagascar,3.26,SQL,BS Computer Science
Jennifer Winters,20,Kyrgyz Republic,3.03,Excel,BS Business Analytics
Joseph Chavez MD,25,Morocco,3.49,Excel,BS Information Technology
Nicholas West,19,Chile,3.26,Excel,BS Information Technology
Joseph Peters,25,Latvia,2.58,Python,BS Software Engineering
Jill Melendez,16,Tokelau,2.36,Excel,BBA
Ronald Gardner,17,Kenya,3.35,Excel,BBA
Jeremy Patterson,19,Greece,3.68,Statistics,BS Data Science
Stacie Campbell,21,Grenada,2.56,SQL,BS Information Technology
Mary Wallace,19,Palau,2.41,SQL,BS Information Technology
Steven Fox,16,Turkmenistan,2.93,Management,BBA
Megan Grant,18,Mauritius,3.69,SQL,BS Computer Science
Vanessa Smith,23,Central African Republic,3.51,Statistics,BS Data Science
Barry Stanley,18,Guinea-Bissau,3,None,BBA
Jeffrey Carlson,16,Madagascar,2.01,SQL,BS Information Technology
Linda Nelson,21,Guyana,2.55,Python,BS Software Engineering
Eric Miller,24,Anguilla,3.93,Excel,BS Information Technology
Timothy Hoover,23,Cameroon,2.81,SQL,BS Information Technology
Mark Frazier,20,Tonga,2.08,Excel,BS Information Technology
Virginia Calhoun DDS,23,Mali,3.29,Management,BBA
Lisa Copeland,20,Bahrain,2.78,Excel,BS Accounting & Finance
Kathryn Taylor,22,British Indian Ocean Territory (Chagos Archipelago),2.45,Risk Management,BS Accounting & Finance
Micheal Mooney,16,Botswana,2.53,Excel,BBA
Arthur Barajas DVM,23,Bhutan,2.12,SQL,BS Information Technology
Nicole Jones,21,Antarctica (the territory South of 60 deg S),3.91,R,BS Data Science
Anthony House,24,Malawi,3.97,Python,BS Software Engineering
Victor Campos,25,Canada,3.23,Excel,BS Information Technology
Victor Harris,16,Kyrgyz Republic,3.29,Excel,BS Business Analytics
Diana Fischer,20,Ireland,3.77,Python,BS Software Engineering
Bruce Smith,21,Mayotte,3.11,R,BS Data Science
Jillian Mcdonald,22,Taiwan,3.31,Python,BS Software Engineering
David Wilson,20,Azerbaijan,2.3,Python,BS Computer Science
Bethany Thompson,25,Lebanon,2.15,Python,BS Software Engineering
Amy Peterson,19,Iran,3.56,Statistics,BS Data Science
Erica Harris,21,India,2.77,Python,BS Software Engineering
Elizabeth Garcia,22,Papua New Guinea,3.38,Financial Modelling,BS Accounting & Finance
Kayla Gilbert,21,Oman,3.35,Risk Management,BS Accounting & Finance
Heidi Holt,20,British Virgin Islands,3.3,SQL,BS Computer Science
Austin Nelson,18,Macao,3.51,Python,BS Computer Science
Sydney Zimmerman,21,Colombia,3.35,SQL,BS Business Analytics
Daniel Jackson,18,Northern Mariana Islands,3.23,Python,BS Software Engineering
Brandon Lowe,16,Syrian Arab Republic,3.42,Excel,BS Business Analytics
Katherine Sims,22,Croatia,3.87,Excel,BBA
Nicole Mcgrath,16,Congo,3.25,Statistics,BS Data Science
Robert Washington,24,Saint Vincent and the Grenadines,2.79,Financial Modelling,BS Accounting & Finance
Shawn Williams,24,Malawi,3.2,Excel,BBA
Matthew Berry,23,Korea,3.57,Statistics,BS Business Analytics
Bob Nelson,21,Luxembourg,3.31,Python,BS Software Engineering
Regina Khan,17,Italy,3.84,Statistics,BS Business Analytics
Thomas Davis,25,Albania,3.71,SQL,BS Computer Science
Deanna Wells,18,United States Minor Outlying Islands,2.21,Python,BS Computer Science
Gordon Sloan,16,Bolivia,2.77,Financial Modelling,BS Accounting & Finance
Kevin Cross,23,Anguilla,3.99,Python,BS Computer Science
Samuel Warren,23,Belgium,2.84,Management,BBA
Kristy Johnson PhD,20,Sierra Leone,2.19,SQL,BS Information Technology
Kristi Wilson,22,Tunisia,3.73,None,BBA
Faith Salazar,18,Lithuania,3.09,Python,BS Computer Science
Tommy Smith,23,North Macedonia,2.65,Python,BS Computer Science
Veronica Buchanan,20,Albania,3.24,R,BS Data Science
Lori Brooks,20,Burundi,3.23,Statistics,BS Business Analytics
Gary Moyer,16,United States Virgin Islands,2.03,R,BS Data Science
Shelia Wallace,22,Kenya,3.19,Management,BBA
Brandon Richardson,19,Senegal,3.61,Statistics,BS Business Analytics
Jacqueline Mccall,21,Barbados,3.88,SQL,BS Information Technology
Edward Crawford,24,Romania,3.75,Statistics,BS Data Science
Nathan Martin,25,United States Minor Outlying Islands,3.55,SQL,BS Information Technology
Michelle Cruz,25,Jersey,3.58,Python,BS Software Engineering
Michael Sullivan,17,Anguilla,2.51,Python,BS Software Engineering
Suzanne Mason,22,Myanmar,2.03,SQL,BS Computer Science
James Taylor,16,Northern Mariana Islands,2.48,Python,BS Software Engineering
Paul Hanson,22,Netherlands Antilles,2.92,SQL,BS Computer Science
Catherine Padilla,20,Egypt,3.23,Excel,BBA
James Cox,17,Mozambique,3.76,Financial Modelling,BS Accounting & Finance
Anthony Guerra,24,Montenegro,2.84,Financial Modelling,BS Accounting & Finance
Robin Hansen,24,Jersey,2.89,Excel,BS Accounting & Finance
Lauren Williams,18,Bosnia and Herzegovina,2.56,Excel,BS Business Analytics
Michael Bolton,24,Togo,3.59,Excel,BS Business Analytics
Jose Rivera,22,Armenia,2.1,Risk Management,BS Accounting & Finance
Anna Shea,18,Congo,3.36,Statistics,BS Data Science
Melanie Simpson,24,Switzerland,2.01,SQL,BS Information Technology
Julie Smith,23,Thailand,3.2,SQL,BS Information Technology
Jaime Shea,23,Italy,3.02,SQL,BS Information Technology
Daniel Oneill,23,Sudan,2.5,SQL,BS Computer Science
Douglas Russell II,25,Djibouti,2.42,SQL,BS Business Analytics
Mr. Cory Forbes,17,Guinea-Bissau,2.91,Financial Modelling,BS Accounting & Finance
Rhonda Diaz,22,Reunion,3.12,SQL,BS Business Analytics
Michael Brooks,16,Anguilla,3.29,Financial Modelling,BS Accounting & Finance
Holly Harding,20,Jersey,2.11,Excel,BS Business Analytics
Cody Moon,19,Macao,2.07,None,BBA
John Morales,16,Guyana,2.09,Risk Management,BS Accounting & Finance
Mary Smith,17,French Polynesia,2.62,Excel,BS Information Technology
Andrew Woods,19,Uganda,3,R,BS Data Science
Melanie Moss,23,Cocos (Keeling) Islands,2.25,Python,BS Software Engineering
Donald Clark,23,Saudi Arabia,3.17,Financial Modelling,BS Accounting & Finance
Jay Ward,25,Haiti,2.05,Excel,BS Business Analytics
Jesse Cobb,21,India,2.51,Statistics,BS Data Science
Dawn Black,18,Guadeloupe,3.25,Python,BS Software Engineering
Betty Jones,17,Montserrat,2.2,Statistics,BS Business Analytics
Angela Rivera,16,Vanuatu,2.49,SQL,BS Information Technology
Robert Cook,19,Mongolia,3.65,Python,BS Software Engineering
Kyle Bishop,25,Nauru,2.54,Excel,BBA
Paul Hayes,16,Guinea,3.79,Python,BS Computer Science
Tina Castillo,21,Saint Vincent and the Grenadines,3.07,Excel,BS Information Technology
Maria Garcia,24,Denmark,3.39,R,BS Data Science
Nicholas Garcia,19,Ghana,2.33,Statistics,BS Business Analytics
Terry Rogers,16,Malawi,3.02,Excel,BS Information Technology
